"id_troncon","type_section","largeur_fond_m","fruit_z","surface_ha","coeff_ruissellement","longueur_parcours_surface_m","pente_parcours_surface","longueur_troncon_m","pente_troncon","ks_manning_strickler","troncon_amont"
"1","trapezoidal","1","1","152.19","0.834","2232","0.005376344","358.932","0.025074387","70","NONE"
"2","trapezoidal","1","1","152.19","0.834","2232","0.005376344","414.006","0.004830848","70","NONE"
"3","trapezoidal","1","1","152.19","0.834","2232","0.005376344","582.568","0.006866151","70","NONE"
"5","trapezoidal","1","1","152.19","0.834","2232","0.005376344","135.151","0.022197394","70","NONE"
"6","trapezoidal","1","1","152.19","0.834","2232","0.005376344","175.361","0.039917656","70","NONE"
"T7","trapezoidal","1","1","152.19","0.834","2232","0.005376344","43.143","0.162251118","70","NONE"
"21","trapezoidal","1","1","102","0.805","2232","0.005376344","155.548","0.045002186","70","T7"
"8","trapezoidal","1","1","232.89","0.798","3573","0.005877414","213.957","0.037390691","70","NONE"
"23","trapezoidal","1","1","102","0.805","2232","0.005376344","166.453","0.042053913","70","NONE"
"24","trapezoidal","1","1","102","0.805","2232","0.005376344","154.245","0.012966385","70","NONE"