Type_Bois,Classe,fm_k_MPa,ft_0_k_MPa,ft_90_k_MPa,fc_0_k_MPa,fc_90_k_MPa,fv_k_MPa,E0_mean_KN_mm2,E0_05_KN_mm2,E90_mean_KN_mm2,G_mean_KN_mm2,pk_kg_m3,pmean_kg_m3
Feuillu,D30,30,18,0.6,23,8.0,3.4,10.0,8.0,0.67,0.83,380,460
Feuillu,D35,35,21,0.6,25,8.4,3.8,11.0,9.0,0.73,0.92,420,500
Feuillu,D40,40,24,0.6,26,8.8,4.2,12.0,10.0,0.80,1.00,450,540
Feuillu,D50,50,30,0.6,29,9.7,4.6,14.0,11.5,0.93,1.13,520,620
Feuillu,D60,60,36,0.6,32,10.5,5.0,17.0,13.5,1.13,1.38,570,680
Feuillu,D70,70,42,0.6,35,13.5,5.3,20.0,17.0,1.33,1.67,650,780
Résineux,C14,14,8,0.5,16,2.0,1.7,7.0,4.7,0.23,0.44,290,350
Résineux,C16,16,10,0.5,17,2.2,1.8,8.0,5.4,0.27,0.50,310,370
Résineux,C18,18,11,0.5,18,2.2,2.0,9.0,6.0,0.30,0.56,320,380
Résineux,C22,22,13,0.5,20,2.4,2.4,10.0,6.7,0.33,0.63,340,410
Résineux,C24,24,14,0.5,21,2.5,2.5,11.0,7.4,0.37,0.69,350,420
Résineux,C27,27,16,0.5,22,2.6,2.8,11.5,7.7,0.38,0.72,370,450
Résineux,C30,30,18,0.5,23,2.7,3.0,12.0,8.0,0.40,0.75,380,460
Résineux,C35,35,21,0.5,25,2.8,3.4,13.0,8.7,0.43,0.81,400,480
Résineux,C40,40,24,0.5,26,2.9,3.8,14.0,9.4,0.47,0.88,420,500
Lamellé-collé,GL24h,24,16.5,0.45,24,2.7,3.2,11.6,9.4,0.39,0.72,380,
Lamellé-collé,GL28h,28,19.5,0.45,26.5,3.0,3.8,12.6,10.2,0.42,0.78,410,
Lamellé-collé,GL32h,32,19.5,0.45,29,3.3,3.8,13.7,11.1,0.46,0.85,430,
Lamellé-collé,GL36c,36,22.5,0.45,26.5,3.0,3.8,14.7,11.9,0.49,0.92,450,
Lamellé-collé,GL24c,24,16.5,0.40,21,2.4,3.2,11.9,10.2,0.39,0.72,380,
Lamellé-collé,GL28c,28,19.5,0.40,24,2.7,3.8,12.6,11.1,0.42,0.78,410,
Lamellé-collé,GL32c,32,22.5,0.40,26,3.0,3.8,13.7,11.9,0.45,0.85,430,
Lamellé-collé,GL36h,36,26.0,0.50,29,3.3,3.8,14.7,12.2,0.49,0.92,450,