Profil,Masse_kg_m,h_mm,b_mm,e_ame_mm,a_aile_mm,r_mm,Section_A_cm2,Surface_peinture_m2_m,J_torsion_cm4,Iy_cm4,Iz_cm4,Wy_cm3,Wz_cm3,iy_cm,iz_cm,Wply_cm3,Wplz_cm3,Iw_cm6,d_cm
IPE 80,6.0,80,46,3.8,5.2,5,7.64,0.401,0.70,80.1,6.69,20.0,2.91,3.24,0.935,22.9,4.55,149,6.96
IPE 100,8.1,100,55,4.1,5.7,7,10.3,0.48,1.40,171,13.9,34.2,5.06,4.07,1.16,39.4,7.86,495,8.86
IPE 120,10.4,120,64,4.4,6.3,7,13.2,0.569,2.46,318,26.7,53.0,8.34,4.90,1.42,60.7,12.9,1313,10.74
IPE 140,12.9,140,73,4.7,6.9,7,16.4,0.659,3.94,541,44.9,77.3,12.3,5.74,1.65,88.9,18.9,3134,12.62
IPE 160,15.8,160,82,5.0,7.4,9,20.1,0.758,5.99,869,72.8,109,17.8,6.58,1.91,124,27.7,6870,14.52
IPE 180,18.8,180,91,5.3,8.0,9,23.9,0.849,8.84,1317,112,146,24.7,7.42,2.16,166,38.1,14130,16.40
IPE 200,22.4,200,100,5.6,8.5,11,28.5,0.947,12.9,1943,164,194,32.8,8.25,2.40,221,49.8,26130,18.30
IPE 220,26.2,220,110,5.9,9.2,11,33.4,1.05,18.7,2772,239,252,43.5,9.11,2.68,285,68.3,46800,20.16
IPE 240,30.7,240,120,6.2,9.8,13,39.1,1.15,26.4,3892,345,324,57.6,9.97,2.97,367,88.9,79650,22.04
IPE 270,36.1,270,135,6.6,10.2,15,45.9,1.30,37.3,5790,513,429,76.0,11.2,3.34,484,115,145400,24.96
IPE 300,42.2,300,150,7.1,10.7,15,53.8,1.45,51.8,8356,734,557,97.9,12.5,3.69,628,149,251300,27.86
IPE 330,49.1,330,160,7.5,11.5,18,62.6,1.59,69.5,11770,985,713,123,13.7,3.97,804,187,411100,30.70
IPE 360,57.1,360,170,8.0,12.7,18,72.7,1.73,90.4,16270,1310,904,154,14.9,4.25,1019,233,674600,33.46
IPE 400,66.3,400,180,8.6,13.5,21,84.5,1.90,115,23130,1676,1160,186,16.5,4.45,1307,287,1118000,37.30
IPE 450,77.6,450,190,9.4,14.6,21,98.8,2.11,154,33740,2140,1500,225,18.5,4.65,1703,348,1877000,42.08
IPE 500,90.7,500,200,10.2,16.0,21,116,2.31,214,48200,2674,1930,267,20.4,4.81,2142,431,2962000,46.80
IPE 550,106,550,210,11.1,17.2,24,134,2.51,289,67120,3305,2440,315,22.3,4.97,2697,529,4865000,51.56
IPE 600,122,600,220,12.0,19.0,24,156,2.71,387,92080,4131,3070,376,24.3,5.15,3387,665,7650000,56.20